Test Name,Difficulty,No. of Questions,Time Needed,Description,Link
Foreclosure Specialist,Medium,18 Questions,20 Min,"The Foreclosure Specialist test assesses a candidate’s proficiency in handling the foreclosure process, loan modifications, and legal procedures.",https://testlify.com/test-library/foreclosure-specialist-test/
Escrow Officer,Medium,18 Questions,20 Min,The Escrow Officer plays a crucial role in real estate transactions by ensuring that all parties meet their contractual obligations. They handle the funds and documents during the closing process.,https://testlify.com/test-library/escrow-officer-test/
Sourcing Specialist,Medium,18 Questions,20 Min,The Sourcing Specialist test evaluates a candidate’s skills in sourcing and identifying potential candidates for open job positions.,https://testlify.com/test-library/sourcing-specialist/
Home Inspector,Medium,18 Questions,20 Min,"This assessment evaluates a candidate’s ability to assess a home’s condition, identify potential issues, and communicate them effectively to clients.",https://testlify.com/test-library/home-inspector-test/
Property Manager,Medium,12 Questions,10 Min,"The Property Manager is responsible for overseeing the day-to-day operations of a property, including maintenance, leasing, tenant relations, and financial management.",https://testlify.com/test-library/property-manager/
Broker,Medium,18 Questions,20 Min,"The Broker Test, also known as the Series 7 exam, is a securities license required for individuals who want to become registered representatives and work in the securities industry in the US.",https://testlify.com/test-library/broker-test/
ServiceNow Developer,Medium,18 Questions,20 Min,"The ServiceNow Developer test assesses the candidate’s technical skills and knowledge required to develop, maintain, and troubleshoot applications on the ServiceNow platform.",https://testlify.com/test-library/servicenow-developer/
Server Engineer,Medium,18 Questions,20 Min,"The Server Engineer test is designed to assess a candidate’s knowledge and expertise in server infrastructure, hardware, software, and networking.",https://testlify.com/test-library/server-engineer/
Swedish (beginner/A2),Easy,10 Questions,10 Min,The Swedish (beginner/A2) assessment evaluates a candidate’s basic proficiency in the Swedish language. It tests the candidate’s ability to understand and use simple expressions in familiar contexts.,https://testlify.com/test-library/swedish-beginner-a2/
Swedish (proficient/C2),Hard,10 Questions,10 Min,The Swedish (proficient/C2) assessment measures a candidate’s ability to use Swedish in complex and sophisticated contexts and understand abstract topics.,https://testlify.com/test-library/swedish-proficient-c2/
Swedish (intermediate/B2),Medium,10 Questions,10 Min,"The Swedish (intermediate/B2) test evaluates a candidate’s language proficiency in Swedish at an intermediate level, covering skills such as reading, writing, listening, and speaking.",https://testlify.com/test-library/swedish-intermediate-b2/
Swedish (beginnerA1),Easy,10 Questions,10 Min,"This test assesses basic Swedish language skills for beginners. It evaluates candidates’ ability to understand simple phrases, interact in basic conversations, and express themselves.",https://testlify.com/test-library/swedish-beginnera1/
Swedish (proficient/C1),Hard,10 Questions,10 Min,The Swedish (proficient/C1) assessment evaluates candidates’ proficiency in the Swedish language at an advanced level.,https://testlify.com/test-library/swedish-proficient-c1/
Backbone.js,Medium,18 Questions,20 Min,"The Backbone.js test is an assessment designed to evaluate a candidate’s proficiency in programming with Backbone.js, a JavaScript framework used for building single-page web applications.",https://testlify.com/test-library/backbone-js/
Swedish (intermediate/B1),Medium,10 Questions,10 Min,The Swedish (intermediate/B1) assessment evaluates the candidate’s ability to comprehend and communicate in Swedish at an intermediate level.,https://testlify.com/test-library/swedish-intermediate-b1/
Portuguese (proficient/C2),Hard,10 Questions,10 Min,The Portuguese (proficient/C2) assessment is designed to evaluate the highest level of proficiency in the language. It measures the candidate’s ability to use Portuguese fluently and accurately.,https://testlify.com/test-library/portuguese-proficient-c2/
Conflict Management Skills,Medium,15 Questions,10 Min,"The Conflict Management Skills Test evaluates a candidate’s ability to manage and resolve conflicts in the workplace, including sub-skills such as communication, problem-solving, and negotiation.",https://testlify.com/test-library/conflict-management-skills/
Portuguese (proficient/C1),Hard,10 Questions,10 Min,"This assessment measures the candidate’s proficiency in Portuguese at the C1 level, indicating an advanced level of language proficiency.",https://testlify.com/test-library/portuguese-proficient-c1/
Portuguese (intermediate/B2),Medium,10 Questions,10 Min,"Portuguese (intermediate/B2) assessment evaluates a candidate’s language proficiency level in Portuguese. This assessment tests various skills, including reading, writing, listening, and speaking.",https://testlify.com/test-library/portuguese-intermediate-b2/
Kafka,Medium,15 Questions,15 Min,"The Kafka test is designed to evaluate a candidate’s knowledge and expertise in Kafka, a distributed streaming platform used for building real-time data pipelines and streaming applications.",https://testlify.com/test-library/kafka/
Portuguese (intermediate/B1),Medium,10 Questions,10 Min,"The Portuguese (intermediate/B1) assessment evaluates a candidate’s language proficiency in reading, writing, listening, and speaking. It covers sub-skills such as grammar, vocabulary and fluency.",https://testlify.com/test-library/portuguese-intermediate-b1/
Portuguese (beginner/A2),Easy,10 Questions,10 Min,The Portuguese (beginner/A2) assessment measures the candidate’s ability to understand basic Portuguese conversations and written materials.,https://testlify.com/test-library/portuguese-beginner-a2/
Portuguese (beginnerA1),Easy,10 Questions,10 Min,The Portuguese (beginner A1) assessment evaluates candidates’ basic language proficiency in Portuguese. It tests their ability to understand and use simple expressions and phrases.,https://testlify.com/test-library/portuguese-beginnera1/
Polish (beginner/A2),Easy,10 Questions,10 Min,"This test evaluates the candidate’s basic understanding of the Polish language. It assesses their proficiency in vocabulary, grammar, sentence structure, and reading comprehension at the A2 level.",https://testlify.com/test-library/polish-beginner-a2/
Polish (proficient/C2),Hard,10 Questions,10 Min,"The Polish (proficient/C2) assessment measures the candidate’s advanced language proficiency in Polish. It evaluates their ability to use the language accurately, fluently, and effectively.",https://testlify.com/test-library/polish-proficient-c2/
Asana,Medium,10 Questions,10 Min,"The Asana test evaluates the candidate’s proficiency in using Asana, a web-based project management application.",https://testlify.com/test-library/asana/
Polish (intermediate/B2),Medium,10 Questions,10 Min,This test measures the candidate’s proficiency in the Polish language at the intermediate level (B2) and evaluates their ability to communicate effectively in both written and spoken Polish.,https://testlify.com/test-library/polish-intermediate-b2/
Polish (beginnerA1),Easy,10 Questions,10 Min,"Polish (beginnerA1) assessment assesses the candidates’ understanding of the alphabets, basic grammar, sentence structure, and vocabulary required for communication.",https://testlify.com/test-library/polish-beginnera1/
Casandra,Medium,10 Questions,10 Min,"The Cassandra test is a pre-employment assessment that evaluates a candidate’s proficiency in utilizing Cassandra, a distributed NoSQL database management system.",https://testlify.com/test-library/casandra/
Polish (proficient/C1),Hard,10 Questions,10 Min,"The Polish (proficient/C1) test evaluates the language proficiency of a candidate in Polish at an advanced level. This assessment covers various skills, including grammar, reading and writing.",https://testlify.com/test-library/polish-proficient-c1/
Polish (intermediate/B1),Medium,10 Questions,10 Min,"The Polish (intermediate/B1) test assesses a candidate’s proficiency in the Polish language at an intermediate level. It evaluates sub-skills such as vocabulary, grammar and reading comprehension.",https://testlify.com/test-library/polish-intermediate-b1/
Product Analyst,Medium,18 Questions,20 Min,"The Product Analyst assessment evaluates a candidate’s ability to analyze and assess product performance, consumer needs, and market trends.",https://testlify.com/test-library/product-analyst/
MERN Stack Developer,Medium,18 Questions,20 Min,The MERN Stack Developer assessment evaluates a candidate’s proficiency in developing web applications using the MERN stack.,https://testlify.com/test-library/mern-stack-developer/
People Operations Lead,Medium,18 Questions,20 Min,The People Operations Lead test is designed to evaluate a candidate’s competencies in managing people and handling complex business situations.,https://testlify.com/test-library/people-operations-lead/
Procurement Analyst,Medium,10 Questions,10 Min,The Procurement Analyst assessment evaluates a candidate’s ability to analyze data and identify key trends and insights related to procurement and supply chain management.,https://testlify.com/test-library/procurement-analyst/
Customer Service Agent,Medium,18 Questions,20 Min,"This assessment evaluates a candidate’s ability to handle customer inquiries, complaints and provide satisfactory solutions.",https://testlify.com/test-library/customer-service-agent-test/
CRO Specialist,Medium,18 Questions,20 Min,The CRO Specialist test evaluates the candidate’s knowledge of conversion rate optimization techniques. CRO specialists use data analysis and experimentation to improve the performance of websites.,https://testlify.com/test-library/cro-specialist-test/
Machine Learning Engineer,Medium,18 Questions,20 Min,This assessment evaluates a candidate’s skills in designing and implementing machine learning models.,https://testlify.com/test-library/machine-learning-engineer-test/
Senior Network Engineer,Medium,18 Questions,20 Min,The Senior Network Engineer test is a comprehensive assessment designed to evaluate the skills and knowledge of candidates for the role of a Senior Network Engineer.,https://testlify.com/test-library/senior-network-engineer/
SEO Specialist,Medium,10 Questions,10 Min,The SEO Specialist test assesses a candidate’s search engine optimization (SEO) skills.,https://testlify.com/test-library/seo-specialist/
Cashier,Medium,18 Questions,20 Min,"The Cashier assessment evaluates a candidate’s ability to handle transactions, process payments, manage cash, and interact with customers.",https://testlify.com/test-library/cashier/
Senior Administrative Assistant,Medium,18 Questions,20 Min,The Senior Administrative Assistant test assesses the skills of candidates applying for administrative assistant positions with extensive experience.,https://testlify.com/test-library/senior-administrative-assistant/
SAP Backend Development,Medium,18 Questions,20 Min,The SAP Backend Development Test is designed to evaluate the candidate’s proficiency in developing SAP applications using ABAP programming language.,https://testlify.com/test-library/sap-backend-development/
SAP Basis Administrator,Medium,18 Questions,20 Min,The SAP Basis Administrator Test is designed to evaluate the candidate’s proficiency in handling SAP systems and environments as a Basis Administrator.,https://testlify.com/test-library/sap-basis-administrator/
Call Center Supervisor,Medium,18 Questions,20 Min,"The Call Center Supervisor test evaluates the candidate’s ability to manage call center operations, handle customer complaints, and train agents.",https://testlify.com/test-library/call-center-supervisor/
Research & Analysis Skills,Medium,15 Questions,10 Min,"The Research and Analysis Skills test evaluates a candidate’s ability to gather, analyze, and interpret data to solve complex problems.",https://testlify.com/test-library/research-analysis-skills/
Budget Analyst,Medium,18 Questions,20 Min,"The Budget Analyst assessment evaluates the candidate’s ability to develop and manage budgets, analyze financial data, and provide recommendations to improve financial performance.",https://testlify.com/test-library/budget-analyst/
BI Developer,Medium,18 Questions,20 Min,"This assessment measures a candidate’s ability to develop business intelligence solutions. It tests their skills in data analysis, database design, and dashboard creation.",https://testlify.com/test-library/bi-developer/
Sales Support Specialist,Medium,18 Questions,20 Min,The Sales Support Specialist Test assesses a candidate’s abilities to provide efficient and effective support to a sales team.,https://testlify.com/test-library/sales-support-specialist/
Sales Executive,Medium,18 Questions,20 Min,The Sales Executive test is designed to evaluate the candidate’s ability to sell products and services effectively.,https://testlify.com/test-library/sales-executive/
Sales Coordinator,Medium,18 Questions,20 Min,The Sales Coordinator test is designed to evaluate the candidate’s ability to manage and coordinate sales activities effectively.,https://testlify.com/test-library/sales-coordinator/
Lead DevOps Engineer,Medium,18 Questions,20 Min,"The assessment assesses the candidate’s skills in automation, continuous delivery, testing, and deployment, infrastructure management, and monitoring.",https://testlify.com/test-library/lead-devops-engineer/
Lead Android Developer,Medium,18 Questions,20 Min,"This assessment measures a candidate’s ability to develop and lead Android app development projects. It evaluates their proficiency in programming, software design, testing, and management of a team.",https://testlify.com/test-library/lead-android-developer/
B2C Telesales,Medium,18 Questions,20 Min,The B2C telesales assessment evaluates the candidate’s ability to sell products/services over the phone to consumers.,https://testlify.com/test-library/b2c-telesales/
Sales Consultant,Medium,18 Questions,20 Min,The Sales Consultant assessment is designed to evaluate a candidate’s ability to sell products or services and manage customer relationships effectively.,https://testlify.com/test-library/sales-consultant/
Python Full Stack Developer,Medium,18 Questions,20 Min,This assessment is designed to evaluate the candidate’s proficiency in the full-stack development using Python.,https://testlify.com/test-library/python-full-stack-developer/
Implementation Consultant,Medium,18 Questions,20 Min,The Implementation Consultant assessment evaluates the candidate’s skills required to successfully implement a software system.,https://testlify.com/test-library/implementation-consultant/
Assistant Account Executive,Medium,18 Questions,20 Min,The Assistant Account Executive is responsible for assisting senior account executives in managing client accounts. They help with client communications and campaign planning and execution.,https://testlify.com/test-library/assistant-account-executive/
HR Representative,Medium,18 Questions,20 Min,The HR Representative test is designed to assess a candidate’s ability to handle various human resource-related tasks.,https://testlify.com/test-library/hr-representative/
Lead iOS Developer,Medium,18 Questions,20 Min,The Lead iOS Developer assessment evaluates a candidate’s proficiency in developing high-quality iOS applications using Swift or Objective-C.,https://testlify.com/test-library/lead-ios-developer/
LAMP Developer,Medium,18 Questions,20 Min,"The LAMP Developer is responsible for developing web applications using the LAMP stack (Linux, Apache, MySQL, and PHP). They should have a strong understanding of back-end web development.",https://testlify.com/test-library/lamp-developer/
HR Director,Medium,18 Questions,20 Min,The HR Director Test is a comprehensive assessment designed to evaluate the candidate’s skills in managing the human resources department of an organization.,https://testlify.com/test-library/hr-director/
Laravel Developer,Medium,15 Questions,15 Min,"The Laravel Developer test evaluates a candidate’s ability to work with the Laravel framework, including their knowledge of PHP, MVC architecture, database management, and Laravel’s core concepts.",https://testlify.com/test-library/laravel-developer/
IBM DB2 SQL Developer,Medium,18 Questions,20 Min,"This test evaluates a candidate’s understanding of SQL concepts, their knowledge of DB2 relational database management systems, and their ability to write efficient and effective SQL queries.",https://testlify.com/test-library/ibm-db2-sql-developer/
Strategic Thinking Skills,Medium,12 Questions,10 Min,"The Strategic Thinking Skills assessment is designed to evaluate a candidate’s ability to analyze complex situations, and think critically.",https://testlify.com/test-library/strategic-thinking-skills/
Java (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This online Java coding test evaluates the basic programming skills of intermediate-level developers and measures their ability to program a moderately complex algorithm in Java.,https://testlify.com/test-library/java-coding-intermediate-level-algorithms/
HR Supervisor,Medium,18 Questions,20 Min,"An HR Supervisor oversees the HR department’s daily operations, including recruiting, hiring, and employee relations.",https://testlify.com/test-library/hr-supervisor/
C++ (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This coding test evaluates the proficiency of programmers in developing intermediate-level algorithms using the C++ programming language.,https://testlify.com/test-library/c-coding-intermediate-level-algorithms-3/
C (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This online C coding test evaluates a programmer’s proficiency in developing intermediate-level algorithms using the C programming language.,https://testlify.com/test-library/c-coding-intermediate-level-algorithms-test/
Swift (Coding): intermediate-level Algorithms,Medium,1 Questions,25 Min,"This Swift coding test evaluates a candidate’s proficiency in programming a small algorithm in Swift, testing their foundational programming skills.",https://testlify.com/test-library/swift-coding-intermediate-level-algorithms/
Electronics Engineer,Medium,18 Questions,20 Min,"The Electronics Engineer is responsible for designing, developing, and testing electronic systems and components for various industries.",https://testlify.com/test-library/electronics-engineer/
C# (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This coding test for C# evaluates the basic programming skills of candidates by assessing their ability to write a small algorithm in C#.,https://testlify.com/test-library/c-coding-intermediate-level-algorithms/
JavaScript (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,"The JavaScript (coding): intermediate-level algorithms assessment evaluates a candidate’s ability to program a small algorithm in JavaScript, testing their basic programming skills.",https://testlify.com/test-library/javascript-coding-intermediate-level-algorithms/
Python (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,"The Python (coding): intermediate-level algorithms assessment evaluates a candidate’s proficiency in programming a small algorithm in Python, assessing their fundamental programming skills.",https://testlify.com/test-library/python-coding-intermediate-level-algorithms/
Ruby (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This Ruby coding test assesses candidates’ knowledge of entry-level algorithms in Ruby. The test is designed to help you identify entry-level Ruby developers with the potential for growth.,https://testlify.com/test-library/ruby-coding-intermediate-level-algorithms/
Full Stack Web Developer,Medium,18 Questions,20 Min,The Full Stack Web Developer is responsible for developing and maintaining both the front-end and back-end of a web application.,https://testlify.com/test-library/full-stack-web-developer/
Go (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,Go (coding): intermediate-level algorithms test assesses a candidate’s ability to program basic algorithms in Golang.,https://testlify.com/test-library/go-coding-intermediate-level-algorithms/
R (Coding): intermediate-Level Algorithms,Medium,1 Questions,25 Min,This R (Coding): intermediate-Level Algorithms test evaluates a candidate’s ability to implement algorithmic solutions using R programming language.,https://testlify.com/test-library/r-coding-intermediate-level-algorithms/
Kotlin (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,This Kotlin coding test evaluates a candidate’s intermediate-level algorithmic problem-solving skills by testing their ability to implement solutions in Kotlin.,https://testlify.com/test-library/kotlin-coding-intermediate-level-algorithms/
TypeScript (coding): intermediate-level algorithms,Medium,1 Questions,25 Min,The TypeScript coding test evaluates a candidate’s ability to program intermediate-level algorithms using TypeScript.,https://testlify.com/test-library/typescript-coding-intermediate-level-algorithms/
SQLite (coding): intermediate-level querying,Easy,1 Questions,25 Min,The SQLite coding test assesses a candidate’s ability to create intermediate-level queries on a database with medium complexity.,https://testlify.com/test-library/sqlite-coding-intermediate-level-querying/
Full Stack .Net Developer,Medium,18 Questions,20 Min,The Full Stack .Net Developer is responsible for developing and maintaining web applications using the .Net framework. They must have expertise in both front-end and back-end development.,https://testlify.com/test-library/full-stack-net-developer/
PHP (coding): intermediate-level algorithms,Easy,1 Questions,25 Min,The PHP test assesses the coding proficiency of candidates through a brief coding assignment.,https://testlify.com/test-library/php-coding-intermediate-level-algorithms/
Java (coding): entry-level algorithms,Easy,1 Questions,15 Min,This Java coding test is aimed at assessing the basic programming skills of entry-level candidates and their ability to develop a simple algorithm using Java.,https://testlify.com/test-library/java-coding-entry-level-algorithms/
C++ (coding): entry-level algorithms,Easy,1 Questions,15 Min,The C++ coding test evaluates the fundamental programming skills of candidates by requiring them to program a small algorithm.,https://testlify.com/test-library/c-coding-entry-level-algorithms-3/
FMCG Sales Executive,Medium,18 Questions,20 Min,"This assessment helps in identifying candidates with excellent communication skills, product knowledge, and the ability to convince customers.",https://testlify.com/test-library/fmcg-sales-executive/
PHP (coding): entry-level algorithms,Easy,1 Questions,15 Min,The PHP test evaluates a candidate’s proficiency in basic programming skills and ability to program a simple algorithm.,https://testlify.com/test-library/php-coding-entry-level-algorithms/
C (coding): entry-level algorithms,Easy,1 Questions,15 Min,The purpose of this online C coding test is to evaluate a candidate’s fundamental programming skills by assessing their ability to program a brief algorithm using C.,https://testlify.com/test-library/c-coding-entry-level-algorithms-test/
Swift (Coding): Entry-level Algorithms,Easy,1 Questions,15 Min,The purpose of this coding test is to evaluate a candidate’s fundamental programming skills by assessing their ability to program a brief algorithm using Swift.,https://testlify.com/test-library/swift-coding-entry-level-algorithms/
Flask Developer,Medium,18 Questions,20 Min,The Flask Developer assessment evaluates a candidate’s expertise in developing web applications using the Flask framework.,https://testlify.com/test-library/flask-developer/
C# (coding): entry-level algorithms,Easy,1 Questions,15 Min,The purpose of this C# coding test is to evaluate candidates’ proficiency in programming a simple algorithm using C# and assess their fundamental programming abilities.,https://testlify.com/test-library/c-coding-entry-level-algorithms/
Secretary Aptitude,Medium,14 Questions,12 Min,"This test evaluates the candidate’s ability to handle secretarial duties, including communication, time management, scheduling, organization, and administrative tasks.",https://testlify.com/test-library/aptitude-test-for-secretary/
Aptitude Test For Research Analyst,Medium,18 Questions,20 Min,"This assessment evaluates a candidate’s research and analytical skills. It assesses their ability to gather, analyze, and interpret data to provide insights and recommendations to clients.",https://testlify.com/test-library/aptitude-test-for-research-analyst/
HR Coordinator,Medium,18 Questions,20 Min,"The HR Coordinator test assesses the candidate’s knowledge, skills, and abilities in various areas of HR management, including recruitment, compensation and benefits.",https://testlify.com/test-library/hr-coordinator/
HR Consultant,Medium,18 Questions,20 Min,The HR consultant test assesses a candidate’s skills and knowledge in various aspects of human resources.,https://testlify.com/test-library/hr-consultant/
Logistics Management,Medium,24 Questions,20 Min,"Logistics Management evaluates candidates’ proficiency in logistics management. It covers supply chain, operations, inventory control, distribution, and cost efficiency.",https://testlify.com/test-library/aptitude-test-for-logistics-managers/
AWS Cloud Engineer,Medium,18 Questions,20 Min,The AWS Cloud Engineer test is designed to assess a candidate’s knowledge and proficiency in various aspects of AWS cloud infrastructure and services.,https://testlify.com/test-library/aws-cloud-engineer/
Aptitude Test for Financial Analyst,Medium,18 Questions,20 Min,"This assessment evaluates the candidate’s ability to perform financial analysis tasks, including financial modeling, data analysis, and forecasting.",https://testlify.com/test-library/aptitude-test-for-financial-analyst/
Cognitive Bias in Hiring,Medium,36 Questions,30 Min,"This test aim to provide objective insights into the way employers make hiring decisions and help identify potential biases related to factors such as race, gender, age, and educational background.",https://testlify.com/test-library/cognitive-bias-in-hiring/
Aptitude for Auditors,Medium,18 Questions,20 Min,Aptitude for Auditors is an assessment designed to evaluate a candidate’s skills required for the role of an auditor. It measures their ability to analyze data and identify errors and discrepancies.,https://testlify.com/test-library/aptitude-for-auditors/
Aptitude for System Administrator,Medium,18 Questions,20 Min,This assessment is essential to ensure that candidates have the necessary skills and competencies to manage complex IT infrastructure and troubleshoot issues effectively.,https://testlify.com/test-library/aptitude-for-system-administrator/
AJAX Front-End Web Developer,Medium,18 Questions,20 Min,An AJAX Front-End Web Developer is responsible for developing web applications or websites that utilize AJAX technologies.,https://testlify.com/test-library/ajax-front-end-web-developer/
Credit Risk Analyst,Medium,18 Questions,20 Min,Credit Risk Analysts analyze and evaluate financial data to determine the likelihood of a borrower defaulting on a loan or credit obligation.,https://testlify.com/test-library/credit-risk-analyst/
HR Business Partner,Medium,18 Questions,15 Min,The HR Business Partner assessment is designed to evaluate the candidate’s ability to align the HR strategies with the organization’s goals and objectives.,https://testlify.com/test-library/hr-business-partner/
HR Assistant,Medium,18 Questions,20 Min,The HR Assistant assessment is a tool designed to evaluate a candidate’s skills and competencies required for the role of an HR Assistant.,https://testlify.com/test-library/hr-assistant/
HR Associate,Medium,18 Questions,20 Min,The HR Associate assessment is designed to evaluate the candidates’ skills and competencies required for the HR Associate role.,https://testlify.com/test-library/hr-associate/
Certified Public Accountant (CPA),Medium,18 Questions,20 Min,"The Certified Public Accountant (CPA) assessment evaluates candidates’ accounting knowledge and expertise in areas such as financial reporting, taxation, and audit.",https://testlify.com/test-library/certified-public-accountant-cpa/
Certified Nursing Assistant,Medium,18 Questions,20 Min,This assessment evaluates the candidate’s skills and knowledge required to provide basic care to patients in a healthcare setting.,https://testlify.com/test-library/certified-nursing-assistant/
HR Generalist,Medium,18 Questions,20 Min,The HR Generalist assessment is designed to evaluate a candidate’s knowledge and skills across various areas of human resources.,https://testlify.com/test-library/hr-generalist/
HR Analyst,Medium,18 Questions,20 Min,"The HR Analyst test evaluates the candidate’s ability to analyze data, develop insights, and create reports to support HR functions.",https://testlify.com/test-library/hr-analyst/
HR Administrator,Medium,18 Questions,20 Min,The HR Administrator test assesses candidates on their skills and abilities to carry out various tasks associated with the role of an HR Administrator.,https://testlify.com/test-library/hr-administrator/
Head of Sales,Medium,18 Questions,20 Min,"The Head of Sales assessment evaluates a candidate’s skills and abilities related to leading and managing a sales team, developing and implementing sales strategies, and achieving sales targets.",https://testlify.com/test-library/head-of-sales/
Head of People & Culture,Medium,18 Questions,20 Min,The Head of People & Culture assessment is designed to evaluate a candidate’s skills and abilities related to leading and managing the human resources function in an organization.,https://testlify.com/test-library/head-of-people-culture/
Executive Business Partner,Medium,18 Questions,20 Min,"An Executive Business Partner is a high-level administrative professional who supports an executive in a variety of tasks, including managing schedules, handling communication, and overseeing projects",https://testlify.com/test-library/executive-business-partner/
Head of Marketing,Medium,18 Questions,20 Min,"The Head of Marketing test is a comprehensive assessment designed to evaluate a candidate’s expertise in the field of marketing, including their knowledge and skills.",https://testlify.com/test-library/head-of-marketing/
Business Systems Analyst,Medium,18 Questions,20 Min,"The Business Systems Analyst (BSA) test assesses a candidate’s skills in requirements gathering, data analysis, process mapping, communication, project management, and quality assurance.",https://testlify.com/test-library/business-systems-analyst/
Head of Growth,Medium,18 Questions,20 Min,The Head of Growth test is designed to evaluate a candidate’s ability to drive growth and development for a company.,https://testlify.com/test-library/head-of-growth/
JavaScript (coding): entry-level algorithms,Easy,1 Questions,15 Min,This online test evaluates a candidate’s basic programming skills by assessing their ability to create a small algorithm using JavaScript.,https://testlify.com/test-library/javascript-coding-entry-level-algorithms/
Python (coding): entry-level algorithms,Easy,1 Questions,15 Min,The purpose of this coding test is to evaluate a candidate’s fundamental Python programming skills by requiring them to create a simple algorithm using Python.,https://testlify.com/test-library/python-coding-entry-level-algorithms/
TypeScript (coding): entry-level algorithms,Easy,1 Questions,15 Min,The TypeScript coding test evaluates candidates’ fundamental programming skills by assessing their ability to write an entry-level algorithm using TypeScript.,https://testlify.com/test-library/typescript-coding-entry-level-algorithms/
Ruby (coding): entry-level algorithms,Easy,1 Questions,15 Min,The purpose of this Ruby coding test is to assess the proficiency of entry-level candidates in using algorithms. Candidates will have 10 minutes to complete a basic coding problem using Ruby.,https://testlify.com/test-library/ruby-coding-entry-level-algorithms/
SQLite (coding): entry-level database operations,Easy,1 Questions,15 Min,This SQLite coding assessment measures a candidate’s capability to manipulate a database with basic complexity and design a query that meets specific criteria.,https://testlify.com/test-library/sqlite-coding-entry-level-database-operations/
Go (coding): entry-level algorithms,Easy,1 Questions,15 Min,The Go coding test evaluates candidates’ basic programming skills by requiring them to program a simple algorithm in Golang.,https://testlify.com/test-library/go-coding-entry-level-algorithms/
R (Coding): Entry-Level Algorithms,Easy,1 Questions,15 Min,The R coding test assesses basic programming abilities by requiring candidates to program a simple algorithm.,https://testlify.com/test-library/r-coding-entry-level-algorithms/
Kotlin (coding): entry-level algorithms,Easy,1 Questions,15 Min,This Kotlin coding test evaluates a candidate’s fundamental programming abilities by requiring them to program a simple algorithm.,https://testlify.com/test-library/kotlin-coding-entry-level-algorithms/
Head of Customer Success,Medium,18 Questions,20 Min,The Head of Customer Success test is designed to assess the candidate’s skills and abilities required for the position of Head of Customer Success.,https://testlify.com/test-library/head-of-customer-success/
Google Ads Specialist,Medium,18 Questions,20 Min,"The Google Ads Specialist assessment is designed to evaluate a candidate’s knowledge and skills related to Google Ads, a popular online advertising platform.",https://testlify.com/test-library/google-ads-specialist/
Golang Developer,Medium,18 Questions,20 Min,"The Golang Developer test assesses a candidate’s proficiency in the Go programming language and their ability to build robust, efficient, and scalable applications.",https://testlify.com/test-library/golang-developer/
Financial Auditor,Medium,18 Questions,20 Min,The Financial Auditor test is designed to evaluate the candidate’s knowledge and skills in auditing and accounting practices.,https://testlify.com/test-library/financial-auditor/
Financial Analyst Aptitude,Medium,18 Questions,20 Min,"The Financial Analyst Aptitude test is an evaluation of the candidate’s knowledge, skills, and abilities in financial analysis.",https://testlify.com/test-library/financial-analyst-aptitude/
Financial Accounting Foundations – US GAAP,Medium,18 Questions,20 Min,The Financial Accounting Foundation – US GAAP tests evaluate candidates for financial accounting and reporting positions in the US.,https://testlify.com/test-library/financial-accounting-foundations-us-gaap/
Financial Accounting Foundation,Medium,18 Questions,20 Min,"The FAF tests are designed to evaluate the knowledge, skills, and abilities of candidates applying for positions related to financial accounting and reporting.",https://testlify.com/test-library/financial-accounting-foundation/
Financial Accounting (US GAAP),Medium,12 Questions,15 Min,The Financial Accounting (US GAAP) test evaluates the candidate’s knowledge of Generally Accepted Accounting Principles (GAAP) in the United States.,https://testlify.com/test-library/financial-accounting-us-gaap/
Director of Customer Experience,Medium,18 Questions,20 Min,The Director of Customer Experience test assesses the candidate’s ability to manage customer experience across different touchpoints.,https://testlify.com/test-library/director-of-customer-experience/
Director of Content Marketing,Medium,18 Questions,20 Min,The Director of Content Marketing test is designed to assess a candidate’s knowledge and skills in various areas of content marketing.,https://testlify.com/test-library/director-of-content-marketing/
Cyber Security Engineer,Medium,18 Questions,20 Min,The Cyber Security Engineer test is designed to assess a candidate’s knowledge and skills in various areas of cybersecurity.,https://testlify.com/test-library/cyber-security-engineer/
Cyber Security Analyst,Medium,18 Questions,20 Min,The Cyber Security Analyst assessment is a valuable tool for assessing the skills of candidates who are interested in working in cybersecurity.,https://testlify.com/test-library/cyber-security-analyst/
Contact Centre Representative,Medium,18 Questions,20 Min,The Contact Centre Representative test is designed to assess the candidate’s skills and competencies required to excel in a contact centre role.,https://testlify.com/test-library/contact-centre-representative/
Cloudera Administrator,Medium,18 Questions,20 Min,"The Cloudera Administrator test is designed to evaluate a candidate’s skills and knowledge related to Cloudera administration, including installation and configuration.",https://testlify.com/test-library/cloudera-administrator/
B2B SaaS Sales,Medium,14 Questions,10 Min,The B2B SaaS Sales test is designed to evaluate a candidate’s sales skills and ability to sell SaaS products or services to other businesses.,https://testlify.com/test-library/b2b-saas-sales/
